1.0	First Naval Member	is in	February 1965
1.0	McNicoll 's career	culminated with	his promotion as Naval Member in February 1965
1.0	McNicoll	has	career
1.0	McNicoll 's career	culminated with	his promotion to vice admiral
1.0	McNicoll 's career	culminated with	his promotion as Naval Member
1.0	McNicoll 's career	culminated with	his promotion to vice admiral as Naval Member in February 1965
1.0	Naval Staff	of Chief is	CNS
1.0	McNicoll 's career	culminated with	his promotion to vice admiral as First Naval Member in February 1965
1.0	McNicoll 's career	culminated with	his promotion to vice admiral as Naval Member
1.0	McNicoll 's career	culminated with	his promotion as First Naval Member in February 1965
1.0	McNicoll 's career	culminated with	his promotion
1.0	McNicoll 's career	culminated with	his promotion as First Naval Member
1.0	McNicoll 's career	culminated with	his promotion to vice admiral as First Naval Member
