1.0	Autobiography	published in	1965
1.0	major African-American leader.He	was working at	his death
1.0	major African-American leader.He	was working on	family history novel
1.0	genealogy history.Haley	in	first book
1.0	book	raised awareness In	United States
1.0	numerous lengthy interviews	is with	subject
1.0	miniseries	raised	awareness
1.0	leader.He	was working on	family history novel
1.0	African-American leader.He	was working at	his death
1.0	major leader.He	was working on	second family history novel
1.0	Malcolm X	of Autobiography is	collaboration through numerous lengthy interviews with subject
1.0	leader.He	was working at	his death
1.0	major leader.He	was working on	family history novel
1.0	Autobiography	collaboration through	numerous lengthy interviews with subject
1.0	major leader.He	was working at	his death
1.0	major African-American leader.He	was working on	second family history novel
1.0	book	raised	awareness
1.0	African-American leader.He	was working on	family history novel
1.0	miniseries	raised awareness In	United States
1.0	leader.He	was working on	second family history novel
1.0	African-American leader.He	was working on	second family history novel
1.0	broad interest	is in	genealogy history.Haley 's first book
