1.0	Wisconsin	is in	1939
1.0	It	preserve	best fiction
1.0	It	preserve	fiction of H. P. Lovecraft
1.0	It	preserve	best fiction of H. P. Lovecraft
1.0	It	was founded in	Sauk City
1.0	It	was	founded
1.0	It	was founded in	Wisconsin in 1939 by August Derleth
1.0	It	preserve	fiction
1.0	It	was founded in	Wisconsin by August Derleth
1.0	Sauk City	Wisconsin in	1939
1.0	Sauk City	Wisconsin by	August Derleth
1.0	It	was founded in	Wisconsin
1.0	It	preserve fiction in	hardcover
1.0	It	was founded in	Wisconsin in 1939
