1.0	world	of	leading dance music labels including Lowly Palace
0.5461670836056836	producer DJ	based in	New York City.He
1.0	producer	has had releases on	some world 's dance music labels including Lowly Palace
1.0	Aiden Jude	is	songwriter
1.0	Aiden Jude	is	old songwriter
1.0	producer	has had releases on	some
1.0	Aiden Jude	is	15 year songwriter
1.0	Jude	is	old
0.724074629160296	producer	based in	New York City.He
1.0	producer	has had	releases
1.0	producer	has had releases on	some of world 's dance music labels including Lowly Palace
1.0	DJ	has had releases on	some world 's dance music labels including Lowly Palace
1.0	Jude	is	year
1.0	DJ	has had releases on	some of world 's dance music labels
1.0	Aiden Jude	is	15 year old songwriter
1.0	DJ	has had releases on	some
1.0	producer	has had releases on	some world 's dance music labels
1.0	producer	has had releases on	some of world 's dance music labels
1.0	DJ	has had	releases
1.0	DJ	has had releases on	some of world 's dance music labels including Lowly Palace
1.0	DJ	has had releases on	some world 's dance music labels
