1.0	2008 Recommended Parents	'	Award
1.0	Secret History	won	2009 Notable Award
1.0	Secret History	won	2008 Recommended Parents ' Choice Award
1.0	Secret History	won	2009 Notable Award from National Council of Teachers of English
1.0	History	won	2009 Notable Award from National Council
1.0	Secret History	won	2009 Notable Award from National Council
1.0	Secret History	won	2009 Notable Award from National Council of Teachers
1.0	History	won	2009 Notable Award from National Council of Teachers of English
1.0	History	won	2008 Recommended Parents ' Choice Award
1.0	History	won	2009 Notable Award from National Council of Teachers
1.0	History	won	2009 Notable Award
