1.0	her	husband	Canadian filmmaker Atom Egoyan
1.0	she	is	regularly cast by her husband in his films
1.0	she	is regularly cast in	his films
1.0	she	is cast by	her husband
1.0	she	is cast In addition to	her independent work
1.0	she	is regularly cast by	filmmaker Atom Egoyan
1.0	she	is	cast
1.0	she	is regularly cast by	her husband
1.0	she	is regularly cast In addition to	her independent work
1.0	she	is cast in	his films
1.0	she	is regularly cast by	Canadian filmmaker Atom Egoyan
1.0	she	is regularly cast In addition to	her work
1.0	she	is	regularly cast
1.0	she	is cast In addition to	her work
1.0	she	is cast by	filmmaker Atom Egoyan
1.0	she	is	cast by her husband in his films
1.0	she	is cast by	Canadian filmmaker Atom Egoyan
